eez_territory,perc_retreat,rate_time,string,country.x,country.y,perc_1km_coast,popn
ASM,41.689225771521386,4.74952950730915,ASM  American Samoa, American Samoa,American Samoa,61,48386
COK,57.28534258456202,0.34936874819311975,COK  Cook Islands, Cook Islands,Cook Islands,91,14778
FJI,48.93177119228119,0.10287672869285512,FJI  Fiji, Fiji,Fiji,27,919430
FSM,15.927617505925884,1.7394806613863694,"FSM  Micronesia, Federated States of"," Micronesia, Federated States of",Micronesia (Federated States of),89,112142
GUM,44.33912585571353,8.920863612427594,GUM  Guam, Guam,Guam,30,165205
KIR,60.98694848694849,1.4836909505659506,KIR  Kiribati, Kiribati,Kiribati,100,130498
MHL,37.773373198508416,1.2835255484261037,MHL  Marshall Islands, Marshall Islands,Marshall Islands,100,40123
MNP,6.648648648648649,1.4914587387387381,MNP  Northern Mariana Islands, Northern Mariana Islands,Northern Mariana Islands,69,46130
NCL,43.352684750945194,0.26307807367311914,NCL  New Caledonia, New Caledonia,New Caledonia,57,287138
NIU,24.42273534635879,2.008175843694494,NIU  Niue, Niue,Niue,25,1869
NRU,56.779661016949156,0.44072033898305085,NRU  Nauru, Nauru,Nauru,93,11847
PCN,18.52589641434263,1.292790836653386,PCN  Pitcairn, Pitcairn,Pitcairn,100,50
PLW,12.993690114512738,0.732545571395186,PLW  Palau, Palau,Palau,93,17805
PNG,51.294180751629135,-0.23097754014356423,PNG  Papua New Guinea, Papua New Guinea,Papua New Guinea,8,10203180
PYF,73.66555758470301,0.005499011832984744,PYF  French Polynesia, French Polynesia,French Polynesia,79,280406
SLB,41.16472354517309,0.20385324224727047,SLB  Solomon Islands, Solomon Islands,Solomon Islands,65,781093
TKL,16.89059500959693,1.239500479846449,TKL  Tokelau, Tokelau,Tokelau,100,2330
TON,35.414433726330834,0.929850839585564,TON  Tonga, Tonga,Tonga,84,105081
TUV,20.499306518723994,1.1065567267683774,TUV  Tuvalu, Tuvalu,Tuvalu,100,10042
VUT,54.35646225992413,0.14597090713581626,VUT  Vanuatu, Vanuatu,Vanuatu,64,313075
WLF,21.971830985915496,1.158730516431925,WLF  Wallis and Futuna, Wallis and Futuna,Wallis and Futuna,67,11525
WSM,31.47647376960519,0.5057920497566256,WSM  Samoa, Samoa,Samoa,61,215295
